"Hero1","H1name","Hero2","H2name","wins","losses","num_of_picks","win_percentage","pickpermedian"
39,"Queen of Pain",101,"Skywrath Mage",81,131,212,0.382075471698113,2.71794871794872
39,"Queen of Pain",102,"Abaddon",134,126,260,0.515384615384615,3.33333333333333
39,"Queen of Pain",103,"Elder Titan",35,26,61,0.573770491803279,0.782051282051282
39,"Queen of Pain",104,"Legion Commander",271,420,691,0.392185238784371,8.85897435897436
39,"Queen of Pain",105,"Techies",28,56,84,0.333333333333333,1.07692307692308
39,"Queen of Pain",106,"Ember Spirit",183,270,453,0.403973509933775,5.80769230769231
39,"Queen of Pain",107,"Earth Spirit",126,138,264,0.477272727272727,3.38461538461538
39,"Queen of Pain",109,"Terrorblade",73,61,134,0.544776119402985,1.71794871794872
39,"Queen of Pain",110,"Phoenix",96,120,216,0.444444444444444,2.76923076923077
39,"Queen of Pain",111,"Oracle",19,48,67,0.283582089552239,0.858974358974359
39,"Queen of Pain",112,"Winter Wyvern",321,440,761,0.421813403416557,9.75641025641026
40,"Venomancer",41,"Faceless Void",30,56,86,0.348837209302326,1.1025641025641
40,"Venomancer",42,"Wraith King",111,59,170,0.652941176470588,2.17948717948718
40,"Venomancer",43,"Death Prophet",26,18,44,0.590909090909091,0.564102564102564
40,"Venomancer",44,"Phantom Assassin",91,106,197,0.461928934010152,2.52564102564103
40,"Venomancer",45,"Pugna",18,14,32,0.5625,0.41025641025641
40,"Venomancer",46,"Templar Assassin",62,56,118,0.525423728813559,1.51282051282051
40,"Venomancer",47,"Viper",64,51,115,0.556521739130435,1.47435897435897
40,"Venomancer",48,"Luna",28,22,50,0.56,0.641025641025641
40,"Venomancer",49,"Dragon Knight",24,32,56,0.428571428571429,0.717948717948718
40,"Venomancer",50,"Dazzle",73,56,129,0.565891472868217,1.65384615384615
40,"Venomancer",51,"Clockwerk",52,41,93,0.559139784946237,1.19230769230769
40,"Venomancer",52,"Leshrac",12,12,24,0.5,0.307692307692308
40,"Venomancer",53,"Nature's Prophet",31,40,71,0.436619718309859,0.91025641025641
40,"Venomancer",54,"Lifestealer",32,35,67,0.477611940298507,0.858974358974359
40,"Venomancer",55,"Dark Seer",38,41,79,0.481012658227848,1.01282051282051
40,"Venomancer",56,"Clinkz",28,15,43,0.651162790697674,0.551282051282051
40,"Venomancer",57,"Omniknight",52,32,84,0.619047619047619,1.07692307692308
40,"Venomancer",58,"Enchantress",10,10,20,0.5,0.256410256410256
40,"Venomancer",59,"Huskar",29,42,71,0.408450704225352,0.91025641025641
40,"Venomancer",60,"Night Stalker",27,26,53,0.509433962264151,0.67948717948718
40,"Venomancer",61,"Broodmother",11,20,31,0.354838709677419,0.397435897435897
